84022,452907,87162,456117,-2597
183925,525568,186580,528268,-2301
832695,430283,834604,432331,-1595
80927,445626,82832,447588,-1579
829801,427047,831611,428916,-1512
835525,433915,837194,435650,-1422
80976,448898,82334,450298,-1069
82830,451677,83962,452845,-967
372266,29610,373247,30643,-767
840360,437137,841253,438022,-758
839455,436207,840315,437082,-714
88393,456913,89250,457716,-689
135534,651107,136291,651914,-669
19298,381668,20086,382467,-664
227569,368235,228491,369191,-662
828028,422956,828800,423761,-649
51254,11333,52067,12149,-648
106032,141474,106781,142248,-640
105097,140578,105787,141287,-611
826871,421730,827635,422545,-593
136542,655196,137215,655899,-544
831938,429668,832525,430259,-526
52109,12140,52734,12783,-504
837219,435670,837773,436230,-466
825538,418993,826106,419564,-444
834940,432555,835453,433079,-437
826282,421123,826794,421658,-433
841252,438503,841736,438982,-421
20572,382936,21012,383383,-391
135106,215193,135552,215626,-390
837930,424824,838376,425262,-384
829210,424201,829670,424692,-383
141750,658990,142293,659503,-381
838840,426345,839257,426794,-361
134622,214720,135052,215151,-322
831585,428961,831962,429340,-318
92859,502618,93266,503037,-311
838479,425670,838820,426034,-286
228752,369431,229039,369725,-253
130506,87930,130814,88252,-247
46395,201795,46673,202081,-228
827693,422599,827958,422877,-217
786619,18192,786897,18483,-211
67252,165407,67518,165671,-210
92551,502302,92816,502575,-208
832891,430884,833125,431161,-190
130233,87316,130436,87536,-187
139245,656462,139509,656743,-186
22929,18523,23152,18745,-181
834661,432378,834854,432571,-171
104854,140329,105066,140544,-167
839280,426826,839486,427025,-161
138946,656195,139159,656403,-160
46030,201414,46256,201641,-158
48070,200413,48278,200635,-151
48070,201077,48277,201301,-150
18315,8589,18477,8750,-149
434692,419184,434871,419374,-146
47483,200671,47676,200861,-144
66065,575993,66236,576178,-144
283897,443332,284067,443518,-142
213455,587301,213627,587465,-140
47052,200206,47227,200405,-140
129046,86485,129220,86657,-138
89685,456927,89859,457096,-134
121021,247936,121187,248119,-134
228520,369193,228687,369365,-133
139913,657172,140100,657351,-132
107203,140944,107379,141114,-131
826099,419765,826287,419955,-130
18621,8995,18777,9154,-130
265380,761389,265558,761570,-129
787249,18996,787406,19154,-128
44293,198197,44498,198388,-128
133016,650575,133207,650753,-126
47059,197686,47188,197821,-124
133016,649209,133172,649372,-123
46780,201789,46937,201951,-122
138275,372156,138432,372332,-119
179790,91240,179925,91370,-119
126020,238060,126175,238212,-118
779458,91239,779596,91370,-116
128824,86379,128961,86514,-115
18476,381507,18620,381644,-114
47059,654207,47188,654339,-112
787539,19301,787671,19430,-111
525844,243418,525972,243551,-110
121885,248254,122054,248403,-110
141166,658405,141332,658562,-109
107020,142315,107150,142445,-108
116540,203017,116655,203131,-107
787792,19568,787911,19682,-107
54522,11992,54653,12132,-104
15973,651107,16102,651256,-102
140872,658105,141002,658246,-102
105854,141331,105976,141459,-101
825376,418825,825501,418951,-99
66422,305206,66551,305325,-99
791575,409378,791707,409502,-99
67085,165288,67201,165408,-97
46733,202113,46886,202305,-96
53800,12004,53904,12113,-95
72,67,182,185,-95
273323,91771,273424,91872,-95
223092,40060,223194,40161,-95
226163,742317,226272,742438,-94
823509,656157,823635,656280,-94
140376,657637,140501,657752,-94
185583,527949,185689,528058,-93
829864,427704,829982,427813,-92
47273,201079,47386,201194,-92
163020,440216,163159,440360,-92
130567,88251,130692,88384,-92
47273,200415,47386,200525,-92
124114,40065,124208,40158,-92
46547,198098,46662,198214,-92
279331,129234,279425,129328,-91
1820,738850,1925,738952,-91
1820,737118,1925,737221,-91
1820,738068,1925,738173,-91
1820,735862,1925,735964,-91
830440,427108,830546,427224,-90
40487,200930,40594,201035,-90
40487,200610,40594,200715,-90
223104,120828,223199,120921,-89
223104,144857,223199,144950,-89
223104,38528,223199,38621,-89
186265,527281,186370,527383,-89
279330,258548,279420,258641,-89
33051,665312,33152,665413,-88
170645,631982,170734,632074,-88
279334,144856,279429,144950,-88
223104,129238,223196,129328,-88
223104,393567,223196,393657,-88
223104,597852,223196,597942,-88
223104,609998,223196,610094,-88
279334,597851,279426,597944,-88
223104,406221,223196,406311,-88
219633,738068,219741,738175,-87
279335,120828,279429,120921,-87
219633,738850,219741,738954,-87
279335,609998,279426,610096,-87
216599,661753,216696,661856,-87
786384,8574,786472,8668,-87
219633,735862,219741,735966,-87
210653,458197,210744,458289,-87
279330,406215,279426,406313,-87
279330,38522,279429,38621,-87
279335,40073,279424,40161,-87
279335,393567,279426,393659,-87
219633,737118,219729,737210,-87
170641,98009,170734,98101,-86
1822,631982,1911,632074,-86
170643,738850,170732,738939,-86
124122,258553,124212,258644,-86
170643,735862,170732,735951,-86
1822,661753,1916,661847,-86
170643,737118,170732,737207,-86
170643,738068,170732,738160,-86
179842,386989,179942,387090,-86
170645,661753,170732,661844,-86
163022,663700,163159,663830,-86
210657,460174,210756,460276,-86
210657,461883,210744,461970,-86
216599,737120,216687,737207,-86
216599,738070,216687,738160,-86
216599,738852,216687,738939,-86
216599,631982,216696,632080,-86
210657,457851,210744,457941,-86
223104,47781,223199,47881,-86
216599,735864,216687,735951,-86
219636,661753,219729,661847,-86
141586,658813,141682,658912,-85
11006,666331,11118,666452,-85
216594,98009,216688,98101,-85
1817,98009,1913,98103,-85
223104,408075,223196,408171,-85
124122,609998,124208,610089,-84
786995,18582,787101,18688,-84
170641,129234,170735,129329,-84
279335,408075,279431,408178,-84
279333,47779,279429,47881,-84
170641,663322,170734,663418,-84
779509,386989,779613,387090,-84
124122,129238,124208,129323,-84
124122,406221,124208,406306,-84
124122,393567,124208,393652,-84
216599,663326,216688,663418,-84
124122,38528,124208,38613,-84
1820,663324,1913,663420,-84
124122,120828,124208,120913,-84
124122,597852,124208,597937,-84
124122,144857,124208,144942,-84
150714,128573,150816,128680,-83
223104,258553,223191,258641,-83
219636,631982,219726,632072,-83
219631,663322,219726,663416,-82
216597,120723,216688,120816,-82
170644,120723,170734,120816,-82
1822,120724,1911,120816,-82
219634,408073,219726,408169,-82
216599,440308,216685,440397,-81
614843,587313,614930,587403,-81
223101,631979,223196,632074,-81
279328,205468,279437,205594,-81
117447,206452,117584,206594,-81
124122,47781,124208,47870,-81
1820,440306,1908,440397,-81
170640,258547,170728,258641,-81
170638,440300,170730,440397,-81
219626,47772,219726,47873,-81
210653,459139,210744,459239,-81
223104,205475,223196,205578,-81
45360,318652,45474,318761,-81
219629,98006,219726,98099,-81
124122,408075,124208,408166,-81
279324,98002,279424,98099,-80
216594,129234,216687,129326,-80
170644,144856,170734,144947,-80
10207,40251,10294,40346,-80
210657,462242,210744,462327,-80
216594,258549,216683,258641,-80
124119,631979,124208,632068,-80
100392,662386,100495,662486,-80
170644,597851,170734,597942,-80
33590,592106,33675,592191,-79
139756,657008,139859,657112,-79
219626,440299,219724,440397,-79
46565,200847,46662,200944,-79
170645,609998,170734,610094,-79
47936,200302,48026,200405,-79
170643,38526,170734,38618,-79
170645,393567,170734,393657,-79
170643,406219,170734,406311,-79
223244,662389,223327,662472,-79
56950,664085,57045,664179,-78
1822,40073,1918,40167,-78
129185,86379,129266,86462,-78
18823,9727,18916,9823,-78
373399,30671,373497,30771,-78
139254,741887,139356,741983,-78
28320,354768,28399,354847,-78
1817,129234,1911,129328,-78
216597,144856,216689,144948,-78
1817,258549,1906,258641,-78
216599,38528,216689,38619,-78
219636,120724,219726,120815,-78
124122,98012,124208,98095,-77
184936,530469,185015,530547,-77
1820,406219,1911,406311,-77
1822,609998,1911,610094,-77
128927,86859,129013,86946,-77
1822,393567,1910,393655,-77
216599,40073,216687,40161,-77
124118,735858,124208,735947,-77
216599,393567,216687,393655,-77
124118,737114,124208,737203,-77
124122,661753,124208,661840,-77
124119,663322,124208,663412,-77
170645,40073,170732,40161,-77
124122,205475,124208,205573,-77
124118,738845,124208,738935,-77
124118,738064,124208,738156,-77
48673,200411,48774,200503,-77
216599,406221,216688,406311,-77
65860,427059,65957,427155,-77
18195,16533,18298,16630,-77
1822,144857,1911,144947,-77
48673,201075,48774,201172,-77
141363,658586,141461,658690,-77
216599,609998,216688,610094,-77
279333,738068,279424,738160,-77
279333,738850,279424,738939,-77
279333,737118,279424,737207,-77
216597,597851,216688,597942,-77
279333,735862,279424,735951,-77
279331,663322,279424,663416,-77
1822,597852,1911,597942,-77
279335,661753,279424,661844,-77
279335,631982,279426,632076,-77
1820,38526,1911,38618,-77
210657,116528,210734,116608,-76
223104,98012,223194,98099,-76
273327,597190,273419,597292,-76
219636,40073,219728,40163,-76
223101,663322,223194,663416,-76
121368,149503,121464,149598,-76
836347,128597,836435,128689,-76
143926,662392,144011,662478,-76
398,662389,480,662474,-76
152775,662392,152852,662472,-76
139259,741411,139356,741505,-76
184064,529623,184169,529729,-76
223100,738064,223194,738160,-76
219634,393565,219724,393653,-76
223100,737114,223194,737207,-76
223100,735858,223194,735951,-76
223100,738845,223194,738939,-76
174338,194082,174422,194167,-76
121372,662392,121449,662472,-76
223104,661753,223194,661844,-76
219630,406215,219724,406307,-75
219625,258538,219722,258641,-75
170638,47773,170733,47874,-75
219630,38522,219724,38614,-75
170645,408075,170733,408170,-75
24781,194082,24867,194169,-75
828811,423957,828904,424051,-75
82687,450321,82787,450438,-75
386638,318734,386724,318819,-74
46826,198615,46914,198710,-74
219615,597834,219724,597938,-74
219636,609998,219724,610090,-74
133172,649409,133257,649494,-74
1820,47779,1910,47873,-74
185152,529643,185245,529744,-74
216599,408075,216687,408169,-74
219636,144857,219724,144943,-74
219636,129238,219724,129324,-74
1822,408075,1910,408169,-74
124122,440308,124208,440395,-74
216599,47781,216688,47875,-74
279333,440306,279420,440395,-74
210654,663964,210731,664045,-73
129303,86862,129401,86954,-73
163095,143302,163180,143390,-73
484661,662389,484735,662466,-73
223104,440308,223191,440395,-73
525986,243562,526078,243660,-73
170641,205471,170735,205579,-73
55615,12008,55703,12112,-73
828951,424072,829038,424156,-73
836355,223376,836430,223450,-72
836355,226049,836430,226123,-72
836355,372629,836430,372703,-72
836355,223124,836430,223198,-72
150111,149509,150188,149588,-72
836355,75355,836440,75440,-72
100389,75345,100473,75429,-72
143908,128584,144000,128680,-72
150111,128606,150188,128685,-72
152755,128584,152846,128680,-72
126068,604106,126147,604184,-72
158424,363296,158499,363370,-72
23669,20295,23756,20391,-72
151883,662389,151961,662466,-72
836355,149509,836438,149591,-72
143923,363083,144002,363167,-72
150107,662389,150182,662466,-72
254099,75355,254173,75432,-71
143926,306288,144006,306376,-71
152775,306288,152852,306376,-71
143925,361440,144000,361515,-71
223247,306288,223327,306376,-71
223247,363086,223323,363167,-71
163383,15463,163468,15549,-71
33061,403538,33135,403614,-71
121372,363086,121445,363167,-71
121369,363296,121443,363370,-71
121372,306288,121449,306376,-71
83656,453448,83744,453542,-71
517797,142126,517880,142219,-71
152775,363086,152848,363167,-71
151887,75355,151964,75432,-71
401,75354,473,75429,-71
401,608270,473,608345,-71
396,306282,491,306386,-71
32145,17707,32227,17789,-71
18196,15677,18271,15758,-71
402,363086,475,363167,-71
163374,15886,163461,15976,-70
